,Year,Product line,Product type,Product,Order method type,Retailer country,Revenue,Planned revenue,Product cost,Quantity,Unit cost,Unit price,Gross profit
0,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,United States,315044.33,437477.15,158371.76,66385,2.55285714,6.59,156672.57
1,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Canada,13444.68,14313.48,6298.8,2172,2.9,6.59,7145.88
2,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Mexico,,,,,,,
3,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Brazil,,,,,,,
4,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Japan,181120.24,235236.64,89413.06,35696,2.657,6.59,91707.18
5,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Korea,,,,,,,
6,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,China,69608.15,100200.95,35326.25,15205,2.495,6.59,34281.9
7,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Singapore,30940.35,51619.47,16370.97,7833,2.09,6.59,14569.38
8,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Australia,,,,,,,
9,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Netherlands,74321.18,94421.52,36531.63,14328,2.6975,6.59,37789.55
10,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Sweden,18474.15,30821.43,9774.93,4677,2.09,6.59,8699.22
11,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Finland,80890.34,117236.1,41021.31,17790,2.495,6.59,39869.03
12,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Denmark,31746.7,33325.63,14665.3,5057,2.9,6.59,17081.4
13,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,France,103244.26,138113.22,51200.76,20958,2.63,6.59,52043.5
14,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Germany,,,,,,,
15,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,United Kingdom,160227.13,220995.65,80307.11,33535,2.576,6.59,79920.02
16,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Belgium,,,,,,,
17,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Switzerland,,,,,,,
18,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Austria,67179.39,85399.81,32490.25,12959,2.6975,6.59,34689.14
19,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Italy,,,,,,,
20,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Spain,,,,,,,
21,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,United States,181287.73,222735.41,88348.13,33799.0,2.72,6.59,92939.6
22,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Canada,,,,,,,
23,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Mexico,133617.26,169942.92,65215.05,25788,2.72,6.59,68402.21
24,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Brazil,,,,,,,
25,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Japan,,,,,,,
26,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Korea,186696.56,238492.1,91891.37,36190,2.6975,6.59,94805.19
27,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,China,,,,,,,
28,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Singapore,118193.46,161665.88,59183.15,24532,2.576,6.59,59010.31
29,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Australia,,,,,,,
30,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Netherlands,,,,,,,
31,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Sweden,,,,,,,
32,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Finland,72891.83,78361.69,34483.9,11891,2.9,6.59,38407.93
