energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.979,0.272,128.876,0.122,0.00762,0.0152,4,0.41,3,294740,-3.481,0.08,0,audio_features,spotify:track:5ihb2wN6ltF6kciiBEDFGM
0.861,0.0747,100.08,0.0493,0.00189,0.000539,4,0.518,6,231762,-6.998,0.317,0,audio_features,spotify:track:4nJzTpnrmdSw6QuAXnZh4S
0.963,0.203,195.979,0.159,8.96e-05,0.000304,4,0.356,9,217959,-4.385,0.379,1,audio_features,spotify:track:5oWgLIrSTgqqNRh1AhsiQ1
0.968,0.106,158.089,0.137,4.74e-05,5.76e-06,4,0.365,2,198987,-4.267,0.386,1,audio_features,spotify:track:430G6ozpARq6CWES9BKHDC
0.327,0.0922,75.122,0.0489,0.605,1.22e-05,4,0.434,6,216100,-10.161,0.26,0,audio_features,spotify:track:5xcILSohBQKIpgWLkC8aFi
0.981,0.359,174.006,0.19,0.000246,4.76e-05,4,0.345,1,193103,-2.533,0.168,1,audio_features,spotify:track:2L9THMht3Ltq9brUz1Nw5Y
0.988,0.325,132.975,0.15,0.00223,0.00396,4,0.521,9,249901,-4.152,0.226,0,audio_features,spotify:track:6sS9xwDwUnYbDTOEfL6rot
0.555,0.1,129.996,0.0321,0.387,0.0,4,0.701,9,216116,-8.004,0.486,1,audio_features,spotify:track:0x2HtOh21kUsh02xmnWdw5
0.968,0.134,160.044,0.0786,0.000114,0.0,4,0.427,4,216360,-3.787,0.51,1,audio_features,spotify:track:1tHk8blCzRJQKQd10K6i8I
0.95,0.0582,164.972,0.0827,0.000207,0.0,4,0.426,3,217818,-5.815,0.617,0,audio_features,spotify:track:68j6RDtKgoN4Ei8eoDOSjO
0.81,0.0963,142.909,0.0664,0.00744,2.02e-06,4,0.246,6,198881,-5.091,0.194,0,audio_features,spotify:track:530wk2tz33m2Rrsp7pdBB7
0.839,0.646,105.748,0.0415,0.047,0.0,4,0.468,6,144110,-5.116,0.551,1,audio_features,spotify:track:0E5NKbSHe9cgD2qLsh6j6V
0.931,0.129,138.01,0.0661,0.00238,1.34e-06,4,0.525,3,193309,-3.304,0.394,0,audio_features,spotify:track:7kX56S5T5acyvFmEWwDait
0.376,0.141,71.175,0.0356,0.989,0.923,4,0.225,10,62869,-18.252,0.0304,0,audio_features,spotify:track:3Wl3PYJnOEYK3FXEttAZfi
0.858,0.136,112.031,0.0401,0.139,0.186,3,0.621,8,220179,-5.549,0.302,1,audio_features,spotify:track:3h52MkUCj8FmXB5qa9DaJV
0.955,0.118,164.09,0.102,0.000201,8.37e-05,4,0.411,6,224167,-5.545,0.329,0,audio_features,spotify:track:5HHRHzps29JrPpXTATWS6v
0.91,0.161,106.072,0.0707,0.00152,0.0,4,0.473,7,279764,-3.814,0.196,0,audio_features,spotify:track:2DvvHYx7r4URFSO9bSLsAF
0.825,0.108,144.17,0.0621,0.00353,0.0,4,0.448,4,216827,-5.307,0.226,0,audio_features,spotify:track:4xDwCYhobDehSBGUmd5H6Y
0.934,0.104,153.802,0.117,2.9e-05,0.000663,4,0.446,11,171429,-5.631,0.337,1,audio_features,spotify:track:0tobjNbP51FMlEUslgm9CR
0.459,0.129,134.278,0.133,0.295,0.0,4,0.576,1,158000,-4.758,0.45,0,audio_features,spotify:track:0Q77bwQH27x3YH5wfaSZNU
0.839,0.179,135.97,0.0354,0.00461,8.09e-06,4,0.531,4,189405,-5.24,0.622,1,audio_features,spotify:track:5I1tePX3BffsnavEANSQUF
0.662,0.205,139.902,0.119,0.0183,0.043,4,0.608,9,170147,-4.225,0.0951,1,audio_features,spotify:track:4od0tqjgF9W4jXjgBXOeDr
0.948,0.0804,167.992,0.0862,0.000143,0.00622,4,0.251,6,337947,-7.901,0.107,0,audio_features,spotify:track:04Bg0IZ8mMs7OniLNGibX4
0.887,0.168,180.03,0.0413,0.00192,0.159,4,0.357,7,438186,-7.385,0.236,1,audio_features,spotify:track:7afC0Ls0m5vPeUrIC2499V
0.815,0.148,170.058,0.0868,0.135,0.0,4,0.545,6,218453,-3.197,0.758,0,audio_features,spotify:track:5oC0AAgJ7RoWOT3HznLMe1
0.985,0.272,174.408,0.26,2.98e-05,1.52e-05,4,0.328,2,251667,-4.797,0.125,1,audio_features,spotify:track:7HDSZpItnbye4ZuDiUeVuy
