,Class,Permission,apk
0,Adware,"['android.permission.ACCESS_FINE_LOCATION', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.GET_TASKS', 'android.permission.RESTART_PACKAGES', 'android.permission.VIBRATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",00325582d7caaf0f36ad333869df444a1aa39326e60745fb3a4137ad268b2788.39f4bbaadd38c8dace20ac88a54eaaa1
1,Adware,"['com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.GET_TASKS', 'android.permission.RESTART_PACKAGES', 'android.permission.INSTALL_PACKAGES', 'android.permission.ACCESS_WIFI_STATE', 'com.android.launcher.permission.UNINSTALL_SHORTCUT', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.READ_SMS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_LOGS', 'android.permission.INTERNET']",00567501fe3517b1bf6b363dd6c4d0972a77c591b0d7c24512db187773f21262.5671499f70946c7e9d22d20e0df899e1
2,Adware,"['android.permission.READ_CONTACTS', 'android.permission.GET_TASKS', 'android.permission.INSTALL_PACKAGES', 'android.permission.CALL_PHONE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_SMS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.INTERNET']",00621e015191863041e78726b863b7e1374b17fda690367878d1272b0e44b232.2573c404acf459c1e11f5124c1a75073
3,Adware,"['com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.GET_TASKS', 'android.permission.RESTART_PACKAGES', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.READ_LOGS', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",0149b02468a8e582d76a7ad5094c15a4a07f4f08361ba5b539702d77babfbbc1.db78e1e2c3f467c9a9a519c358c9cb32
4,Adware,"['android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.READ_LOGS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET']",018096f1e732c91fb315a84ab5d851430c5d2c124a7f8dbb1792cf9606335e41.7eb9b4a2a171b616d6c11050ced9f978
5,Adware,"['android.permission.SET_WALLPAPER', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET']",0205136af07d6b952b908dfbcfe6cf9da68eb4931d4ca34ede9a2f22c3024f19.4556f46edcefe6027df5395dc00dafa2
6,Adware,"['com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.GET_TASKS', 'android.permission.RESTART_PACKAGES', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.VIBRATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",024e335915472925e5747006677ec01a7874e9775a76d7bf734480093cd1e8ec.02d97e8806fe2971e6f45b10aaeef457
7,Adware,"['android.permission.SET_WALLPAPER', 'com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'com.android.launcher.permission.UNINSTALL_SHORTCUT', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.INTERNET']",0257ebb853503222dc8830b24072e683fabdd8cc2f262798f08694b283b2e01d.27cd8bb6ac8f40ef25adbd703aade9ed
8,Adware,"['com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",0287892acfbf12493d866d0817591c17a9eab5322563c703ea65d4fad0287c64.5a50e5a84f907fc202c24ad7cff24f58
9,Adware,"['android.permission.READ_EXTERNAL_STORAGE', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.WRITE_SETTINGS', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",0383375cbfa4767223b130c214d8c3ae10d0918fba8a3771ca43c1f69ee0c053.7078042eab3a6342a934245e49a9d99b
10,Adware,"['android.permission.DISABLE_KEYGUARD', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.VIBRATE', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET']",038ac7fbe4655dea630752cf43d5979ec539bb98191d622eb1f754cd43cc6dc5.2a0d01439d0318308a35e5109133c776
11,Adware,"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.READ_LOGS', 'android.permission.INTERNET']",0415d375101c46a635ad08c093f23fb0032dafe48f15224a4e9867950080d8bd.9b707640e83180051b11e9f2a4d9592f
12,Adware,"['android.permission.INTERNAL_SYSTEM_WINDOW', 'com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.DISABLE_KEYGUARD', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",042571a4b49103b62431b39701bbf459e197d0ef76c37652b5d4a5141b110601.9ba6b98bd707497c881617bc6ef5250b
13,Adware,"['android.permission.GET_TASKS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET']",045b3aa12aed348a4efd5574b88da97c036a766d77963773974dee02ea8d7ceb.d3ee9693fc398614ee1ca9c1bfacc540
14,Adware,"['android.permission.READ_PHtwo_STATE', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",048449f839bfa7afc61aed035ba870aff254b7534c8444cbb701e31ec6d47f24.0c2bc1456176bc0736c5f18159c976c1
15,Adware,"['android.permission.NFC', 'android.permission.GET_TASKS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET']",048ceb8c5a36a644a3c33cc9527195ff68bef5a76cf0de9e7da1cc77eb0a461c.a2cdae7614ac653b945e432bc27ad05e
16,Adware,"['android.permission.ACCESS_WIFI_STATE', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",049d5d5e6dda98f512e0a9fd2d8e3299bb16adfb63d95033ed6a839588d14425.2e908036be358ce313a97a266fed10e3
17,Adware,"['android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.PROCESS_OUTGOING_CALLS', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",0530f4bfc27d83e1448f17704b8cdf15c6869906cbad471e17ef6f463d893b8f.3a428703b9a1d41aab18c66ab896e8fb
18,Adware,"['android.permission.READ_EXTERNAL_STORAGE', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.GET_TASKS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",05367fe9f0e8846f4c4e2efa127d1f9d361c7dd1425c507524bedc58aea320de.002a9d65d397bdda4755ab50bc5dc571
19,Adware,"['com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.ACCESS_FINE_LOCATION', 'com.android.launcher.permission.READ_SETTINGS', 'android.permission.GET_TASKS', 'android.permission.RESTART_PACKAGES', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.KILL_BACKGROUND_PROCESSES', 'android.permission.WRITE_SETTINGS', 'android.permission.INTERNET']",0628109ac9bc94f397e9f210bb5f37f2ba259e4ee07437fa4e57416dcc2b4462.38a717d38ecca3fc052cd0d029ddcfb1
20,Adware,"['android.permission.INTERNAL_SYSTEM_WINDOW', 'com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.DISABLE_KEYGUARD', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",0669dccf3a9a08ba5d148aed4568c6a15f65075d913243f160b4c5c5ab31fc61.2ff33a80a1a0bc9a793eb4d55741269d
21,Adware,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.READ_PHONE_STATE']",0680cf0a42fdde53a118f8b3db8e28e6b00ef9146073e00ee4b285650144be6c.9e4f79951065bfe05a1b26b9230a4785
22,Adware,"['android.permission.ACCESS_FINE_LOCATION', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.GET_TASKS', 'android.permission.RESTART_PACKAGES', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.VIBRATE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",071e40d21c0a1b4352abc014b717f4419161d5967580d05b326cbf3eaecafca9.b35a8b7819eae9b9cfb48867770f0458
23,Adware,"['android.permission.INTERNAL_SYSTEM_WINDOW', 'com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.DISABLE_KEYGUARD', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",0726f5bcd7689892b31f5e04f1f952835133eb57dfcd8b65bc0c79b883fb5b10.d9f588805fbbca5b6ce369bcd232a3bf
24,Adware,"['android.permission.DISABLE_KEYGUARD', 'android.permission.VIBRATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.INTERNET', 'android.permission.RESTART_PACKAGES', 'android.permission.READ_PHONE_STATE', 'android.permission.SET_WALLPAPER', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_LOGS', 'android.permission.WAKE_LOCK', 'android.permission.GET_TASKS', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.SET_PROCESS_FOREGROUND']",074014a3c6c5f9477a63a4c4c9331c700e540e3a565d0d4f8426ac5774fd9f32.6d1903a8460bb8daca447d41d9ffadfc
25,Adware,"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.READ_LOGS', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.INTERNET']",076c5f5f1391f89ed61f212a9b893849292797e7f72c613490b21bde2a719007.da09709805d579f05d8bb41b2071a9e8
26,Adware,"['android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.CAMERA', 'com.android.vending.CHECK_LICENSE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WAKE_LOCK']",082b102aaab4354b7b003a6fe5b21274582b0ed49441351a4a3f8a23012b55a5.21eed64ce73fe43590437bf25c73c9e3
27,Adware,"['com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET']",084e4f533e49d54a57c460a58dd5226264a8d8e48f16fdda0c27fc3566d7e1ba.67bdaab17d4504a926fd8db4b7e753e9
28,Adware,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.READ_PHONE_STATE']",085f8e90d07bea77ba7e0789b2a95fd41b6c3a6462f0021a92d536e815d9a92e.9bcfbb130b98eaf0d5ad7bd670049fcd
29,Adware,"['android.permission.GET_TASKS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.READ_PHONE_STAT']",0965b350a12fc8e55865501b73d6dab4cfd35c0fd283a4dc463f77867271eed4.c63b11affb39d475982a418fc78e3a74
30,Adware,"['com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WRITE_SETTINGS', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'com.android.browser.permission.WRITE_HISTORY_BOOKMARKS', 'android.permission.INTERNET']",0993b36f203483306288ec29846ef902b2410c50983c81194e777a97ed6333e8.6468c8aef38535f6b8b24fb86673430c
31,Adware,"['android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET']",099a9bedba55e6c81b142132f57190865323091d401c213187e97db1f38aa660.6edfb6f4b344e6339b40cd727016cc91
32,Adware,"['android.permission.VIBRATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.BLUETOOTH', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.BLUETOOTH_ADMIN', 'android.permission.INTERNET']",1041aa822ff11fb8712bc48b84a5cdb755e213587242bea3fb984f78f75d7958.015b22bf40ef71d0800e429090ac2f6d
33,Adware,"['android.permission.READ_PHtwo_STATE', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET']",10425aea7317cc1da95a232189e653b2cc6876e23cfce45d6215c6c86f223eb9.4dd41f1519116304dc95e8810c90d57c
34,Adware,"['android.permission.INTERNAL_SYSTEM_WINDOW', 'com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.INTERNET']",109466b65cc4a0fb1a55abbc62b9b3146fb6c5eefc6db908857c701970c1a2bc.bf117afd8e267e6f6e732beeb1710b6d
35,Adware,"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.READ_LOGS', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.INTERNET']",115b93502865d6ace40833f6a44fb03fbc187b58404ab7c7ed1bda739a227b18.a23fea0f6ea5210e0f71026ce7a6cc90
36,Adware,"['android.permission.RECORD_AUDIO', 'android.permission.BAIDU_LOCATION_SERVICE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.VIBRATE', 'android.permission.CHANGE_WIFI_STATE', 'android.permission.INTERNET', 'android.permission.GET_ACCOUNTS', 'android.permission.MANAGE_ACCOUNTS', 'android.permission.READ_PHONE_STATE', 'android.permission.AUTHENTICATE_ACCOUNTS', 'android.permission.FLASHLIGHT', 'android.permission.USE_CREDENTIALS', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCES_MOCK_LOCATION', 'android.permission.GET_TASKS', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.DOWNLOAD_WITHOUT_NOTIFICATION', 'android.permission.RECEIVE_BOOT_COMPLETED']",126b346b85a96b3fec082aba092c11d37f481ef6ee40f76de9b1e9df89700c96.9d9c2fb1bfdd489b86dc4b4cbd41906f
37,Adware,"['android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.READ_LOGS', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.INTERNET']",12780c0ed735628dc21a5c0e4783e82c017a6ad999fd74e29420f5c1a598ca6c.87bffd9c7ee57e080dce8c3744a482dd
38,Adware,"['android.permission.ACCESS_WIFI_STATE', 'android.permission.WRITE_SMS', 'com.android.browser.permission.WRITE_HISTORY_BOOKMARKS', 'android.permission.INTERNET', 'android.permission.GET_PACKAGE_SIZE', 'android.permission.DEVICE_POWER', 'android.permission.CLEAR_APP_CACHE', 'com.android.vending.CHECK_LICENSE', 'android.permission.READ_PHONE_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.READ_CONTACTS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.WRITE_CALL_LOG', 'android.permission.WRITE_CONTACTS', 'android.permission.WAKE_LOCK', 'android.permission.READ_PHtwo_STATE', 'com.android.launcher.permission.INSTALL_SHORTCUT', 'com.android.browser.permission.READ_HISTORY_BOOKMARKS', 'android.permission.READ_CALL_LOG', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.READ_SMS', 'android.permission.RECEIVE_BOOT_COMPLETED']",12952e8099be21de583fd1cac6b90bc4dd012f4b2b5c157edb318b34c07c1995.4b23d5d9b737606431d5d5528de5aaab
39,Adware,"['com.android.launcher.permission.INSTALL_SHORTCUT', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.DISABLE_KEYGUARD', 'android.permission.SET_WALLPAPER', 'android.permission.GET_TASKS', 'android.permission.EXPAND_STATUS_BAR', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.VIBRATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_PHONE_STATE', 'android.permission.INTERNET', 'android.permission.SET_WALLPAPER_HINTS', 'android.permission.WAKE_LOCK']",131dfef438813e1d826acb1de0c25d2633e7e61582c5b990bb2bcbc434aa767c.5fd35cca79ad8051ddcc013093db9f27
40,Adware,"['android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.MODIFY_AUDIO_SETTINGS', 'android.permission.GET_TASKS', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WAKE_LOCK', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.DOWNLOAD_WITHOUT_NOTIFICATION', 'com.android.vending.CHECK_LICENSE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_PHONE_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.INTERNET', 'android.permission.CHANGE_NETWORK_STATE']",1327cd9660fff9b238644a041960f11d9210179ce6b68a66849eec8cb6ad5325.29b00913d6a1b0a822e7c96c6cde8bcd
41,Adware,"['com.fede.launcher.permission.WRITE_SETTINGS', 'org.adwfreak.launcher.permission.WRITE_SETTINGS', 'com.android.launcher.permission.READ_SETTINGS', 'android.permission.BIND_APPWIDGET', 'android.permission.VIBRATE', 'android.permission.ACCESS_WIFI_STATE', 'org.adwfreak.launcher.permission.READ_SETTINGS', 'android.permission.CHANGE_WIFI_STATE', 'com.fede.launcher.permission.READ_SETTINGS', 'android.permission.INTERNET', 'com.htc.launcher.permission.WRITE_SETTINGS', 'org.adw.launcher.permission.READ_SETTINGS', 'android.permission.EXPAND_STATUS_BAR', 'android.permission.RESTART_PACKAGES', 'android.permission.BLUETOOTH', 'android.permission.READ_PHONE_STATE', 'com.tencent.qqlauncher.permission.READ_SETTINGS', 'android.permission.MODIFY_PHONE_STATE', 'org.adw.launcher_donut.permission.WRITE_SETTINGS', 'android.permission.WRITE_SETTINGS', 'android.permission.SET_WALLPAPER_HINTS', 'org.adw.launcher.permission.WRITE_SETTINGS', 'android.permission.SET_WALLPAPER', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.SYSTEM_ALERT_WINDOW', 'com.lge.launcher.permission.READ_SETTINGS', 'android.permission.INSTALL_PACKAGES', 'org.adw.launcher_donut.permission.READ_SETTINGS', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.FORCE_STOP_PACKAGES', 'android.permission.BLUETOOTH_ADMIN', 'android.permission.SEND_SMS', 'android.permission.WAKE_LOCK', 'android.permission.RECEIVE_SMS', 'com.android.launcher.permission.WRITE_SETTINGS', 'com.lge.launcher.permission.WRITE_SETTINGS', 'android.permission.GET_TASKS', 'android.permission.PERSISTENT_ACTIVITY', 'com.tencent.qqlauncher.permission.WRITE_SETTINGS', 'com.htc.launcher.permission.READ_SETTINGS', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'android.permission.READ_SMS', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.KILL_BACKGROUND_PROCESSES', 'android.permission.CHANGE_NETWORK_STATE']",137e9a8a7b1cf820953826417a87dcd35bd18f4911642bed97c2e664837697a6.6e7bf8cf914f26f5f7d51f333ca932b1
